Year,Month,Origin,Destination,Trips,Base Fare,Revenue,CommuteTime_Mins,OD_Distance_km
2022,June,SAN,SHA,22061,13,286793,5,3.16
2022,June,ORT,SHA,39060,13,507780,1,0.82
2022,June,SHA,SHA,5806,0,0,0,0
2022,June,BON,SHA,46348,13,602524,2,1.01
2022,June,GUA,SHA,129923,13,1688999,3,1.73
2022,June,BUE,SHA,33170,13,431210,7,3.63
2022,June,AYA,SHA,121973,16,1951568,10,4.86
2022,June,MAG,SHA,53395,16,854320,13,6.1
2022,June,TAF,SHA,284309,20,5686180,17,8.04
2022,July,NOR,SHA,137055,20,2741100,17,8.7
2022,July,QUE,SHA,59759,20,1195180,14,7.47
2022,July,GMA,SHA,139068,16,2225088,12,6.49
2022,July,CUB,SHA,166127,16,2658032,8,4.56
2022,July,SAN,SHA,21967,13,285571,5,3.16
